cuda:0
Namespace(withAug=True, AugDirect=20, method_name='GIN', seed=100, IsDirectedData=True, dataset='WikipediaNetwork/chameleon', undirect_dataset='CiteSeer', MakeImbalance=True, CustomizeMask=False, heads=8, log_root='../logs/', log_path='test', data_path='../dataset/data/tmp/', epochs=1500, num_filter=2, p_q=0.95, p_inter=0.1, dropout=0.0, debug=False, new_setting=False, layer=2, lr=0.005, l2=0.0005, to_undirected=False, alpha=0.1, randomseed=-1, imb_ratio=100, n_layer=2, feat_dim=64, warmup=5, epoch=900, tau=2, max=False, no_mask=False, gdc='ppr')
dataset is  WikipediaNetwork
Dataset is  WikipediaNetwork() 
Chosen from DirectedData:  True
Num of bidrected edges: 4680, total num of edges: 36101
This is directed graph:  True
data_x torch.Size([2277, 2325])
cuda:0
splits 10
0
cuda:0
Time consumed in this epoch:  6.276363372802734
Time consumed in this epoch:  7.4982757568359375
Time consumed in this epoch:  6.859961986541748
Time consumed in this epoch:  7.522567510604858
Time consumed in this epoch:  6.254626989364624
Time consumed in this epoch:  7.5216405391693115
Time consumed in this epoch:  7.4429285526275635
Time consumed in this epoch:  8.819723844528198
Time consumed in this epoch:  8.862503290176392
Time consumed in this epoch:  8.095990180969238
Time consumed in this epoch:  8.989203929901123
Time consumed in this epoch:  7.92618989944458
Time consumed in this epoch:  7.514859437942505
Time consumed in this epoch:  7.421537637710571
Time consumed in this epoch:  7.547173500061035
Time consumed in this epoch:  7.46159553527832
Time consumed in this epoch:  8.158445358276367
Time consumed in this epoch:  7.462379693984985
Time consumed in this epoch:  7.609598875045776
Time consumed in this epoch:  7.116366624832153
Time consumed in this epoch:  8.849315643310547
Time consumed in this epoch:  8.73563289642334
Time consumed in this epoch:  8.179877996444702
Time consumed in this epoch:  8.032511949539185
Time consumed in this epoch:  7.849132537841797
Time consumed in this epoch:  8.582499980926514
Time consumed in this epoch:  7.282322883605957
Time consumed in this epoch:  6.902086019515991
Time consumed in this epoch:  6.503809213638306
Time consumed in this epoch:  8.992853164672852
Time consumed in this epoch:  8.502060174942017
Time consumed in this epoch:  8.279097557067871
Time consumed in this epoch:  7.101706027984619
Time consumed in this epoch:  6.948542594909668
Time consumed in this epoch:  8.52713918685913
Time consumed in this epoch:  8.228254795074463
Time consumed in this epoch:  8.089001178741455
Time consumed in this epoch:  8.485028982162476
Time consumed in this epoch:  9.084956645965576
Time consumed in this epoch:  7.790024280548096
Time consumed in this epoch:  8.535539150238037
Time consumed in this epoch:  7.4705188274383545
Time consumed in this epoch:  7.9831702709198
Time consumed in this epoch:  6.735506057739258
Time consumed in this epoch:  7.857627868652344
Time consumed in this epoch:  7.691928148269653
Time consumed in this epoch:  5.7886152267456055
Time consumed in this epoch:  7.572825193405151
Time consumed in this epoch:  6.636297941207886
Time consumed in this epoch:  7.4301438331604
Time consumed in this epoch:  7.743131875991821
Time consumed in this epoch:  8.360101699829102
Time consumed in this epoch:  9.563389778137207
Time consumed in this epoch:  8.04892635345459
Time consumed in this epoch:  7.399893522262573
Time consumed in this epoch:  6.157937288284302
Time consumed in this epoch:  6.762022256851196
Time consumed in this epoch:  7.594764232635498
Time consumed in this epoch:  9.53977084159851
Time consumed in this epoch:  9.316839218139648
Time consumed in this epoch:  8.768335342407227
Time consumed in this epoch:  8.085273027420044
Time consumed in this epoch:  8.583926439285278
Time consumed in this epoch:  6.89631199836731
Time consumed in this epoch:  8.609577178955078
Time consumed in this epoch:  7.705149173736572
Time consumed in this epoch:  8.218313217163086
Time consumed in this epoch:  7.918483018875122
Time consumed in this epoch:  6.781054258346558
Time consumed in this epoch:  7.180688142776489
Time consumed in this epoch:  8.013474702835083
Time consumed in this epoch:  8.405452728271484
Time consumed in this epoch:  9.081194877624512
Time consumed in this epoch:  7.4986162185668945
Time consumed in this epoch:  6.139153957366943
Time consumed in this epoch:  8.172052383422852
